Solution Log - 2025-07-03 14:36:18
==================================================
Problem status: optimal
Objective value: 576.9249159565587

Variable Values:
xac: 1.0
xag: 0.9999999999999999
xbm: 1.0000000000000033
xbq: 1.0
xco: 1.0
xcr: 1.0
xdw: 1.0
xdx: 1.0
xef: 1.0
xeg: 1.0
z: 576.9249159565587
xfa: 0.768307418493879
xfd: 0.03683640303358613
xfi: 0.008231893779490245
xfj: 0.03208225190425716
xfl: 0.6360685990723042
xfm: 0.35399749727329655
xfq: 0.04
xfr: 0.011512011486719065
xfs: 0.07364205566041916
xft: 0.005002153714000112
xfv: 0.034319715582048486
xgh: 0.0217820060751167
xgj: 0.9264647938313715
xgk: 1.0
xgu: 0.051753200093511816
xhj: 0.9080106235753687
xhk: 0.3515057128011286
xhn: 0.740483663623503
xic: 0.07364205566041916
xie: 0.951271186440678
xih: 0.0009193703862874075
xij: 0.05980027502858744
xin: 0.07364205566041916
xio: 0.004653152602405936
xis: 0.812605494522749
xiw: 0.02346640969845441
xjd: 0.3817528193237795
xjh: 0.02511378654063722
xjo: 0.07914223997918851
xjp: 0.04912081143175514
xjr: 0.8964460480902866
xjs: 0.3825166801238111
xju: 0.040774612395978994
xjv: 0.14513300211456398
xka: 0.47666633045760687
xkb: 0.39014432694700807
xkl: 0.020875885174014366
xkm: 0.05462390824472909
xko: 0.0020939186710826688
xks: 0.03256468590402254
xkv: 1.0
xkw: 0.022232929231066487
xkx: 0.0007980153704699614
xlb: 0.45894306633517923
xlc: 0.33618823919208685
xlk: 0.15920864745648755
xln: 1.0
xlo: 0.021369166186497462
xlp: 0.00043484656390497866
xls: 0.0006307125710259207
xlu: 0.023225321694816795
xma: 0.0019441287200619686
xmf: 0.03556912215545725
xmk: 0.03904786427023862
xml: 0.4597674460724391
xmo: 0.030475835583416464
xmp: 0.9504443420043398
xms: 0.4783122936439093
xmu: 0.0044389675501354895
xna: 0.4045325393288285
xnl: 0.06855099795080521
xnp: 1.0
xnq: 0.01222173582577442
xnr: 0.042944785276076404
xnt: 0.467065553040934
xnv: 0.0037884699023083626
xnw: 0.0008959186752709721
xob: 1.0
xoc: 0.0019829480152923824
xoj: 0.07364205566041916
xok: 0.3402248809061845
xom: 0.008900241478580054
xot: 0.5194974079848151
xox: 0.05575246595470868
xpd: 0.7296628410590819
xpf: 0.038839809224488986
xpi: 0.2383020222432373
xpk: 0.07364205566041916
xpl: 0.005506113822971906
xpm: 0.07364205566041916
xpn: 0.07364205566041916
xpv: 0.7667630466689624
xqb: 0.07112332389930347
xqf: 0.017786635042214928
xqi: 0.5789125181530814
xql: 0.7355889022470462
xqm: 0.49213389095690224
xqo: 0.03596070623323005
xqt: 0.00843488526025119
xqu: 0.05961117887033687
xqw: 0.000447959337635486
xrb: 0.07364205566041918
xrc: 0.049014702812818854
xrd: 0.5814107776426343
xrf: 0.8930748736016711
xri: 0.17455356582419101
xrq: 0.15466196879784674
xrs: 0.07364205566041916
xsh: 0.9521848369979586
