Solution Log - 2025-07-28 16:28:33
==================================================
Status: optimal
Objective Value: -2448337.0

Variable Values:
C-----20: 1.0
C-----34: 1.0
C-----37: 1.0
C-----40: 1.0
C-----47: 1.0
C-----53: 1.0
C-----54: 1.0
C-----73: 1.0
C-----78: 1.0
C-----89: 1.0
C----109: 1.0
C----114: 1.0
C----115: 1.0
C----128: 1.0
C----138: 1.0
C----184: 1.0
C----186: 1.0
C----220: 1.0
C----227: 1.0
C----253: 1.0
C----277: 1.0
C----315: 1.0
C----327: 1.0
C----367: 1.0
C----382: 1.0
C----392: 1.0
C----415: 1.0
C----419: 1.0
C----426: 1.0
C----444: 1.0
C----449: 1.0
C----451: 1.0
C----456: 1.0
C----462: 1.0
C----472: 1.0
C----473: 1.0
C----519: 1.0
C----526: 1.0
C----527: 1.0
C----548: 1.0
C----557: 1.0
C----586: 1.0
C----590: 1.0
C----604: 1.0
C----610: 1.0
C----615: 1.0
C----628: 1.0
C----633: 1.0
C----647: 1.0
C----650: 1.0
C----659: 1.0
C----662: 1.0
C----725: 1.0
C----733: 1.0
C----746: 1.0
C----768: 1.0
C----778: 1.0
C----808: 1.0
C----823: 1.0
C----828: 1.0
C----853: 1.0
C----857: 1.0
C----860: 1.0
C----873: 1.0
C----874: 1.0
C----890: 1.0
C----894: 1.0
C----910: 1.0
C----915: 1.0
C----939: 1.0
C----954: 1.0
C----955: 1.0
C----975: 1.0
C----983: 1.0
C----987: 1.0
C----993: 1.0
C----998: 1.0
C---1019: 1.0
C---1025: 1.0
C---1033: 1.0
C---1041: 1.0
C---1066: 1.0
C---1075: 1.0
C---1087: 1.0
C---1098: 1.0
C---1101: 1.0
C---1106: 1.0
C---1107: 1.0
C---1111: 1.0
C---1114: 1.0
C---1118: 1.0
C---1119: 1.0
C---1120: 1.0
C---1136: 1.0
C---1162: 1.0
C---1167: 1.0
C---1171: 1.0
C---1173: 1.0
C---1231: 1.0
C---1256: 1.0
C---1280: 1.0
C---1296: 1.0
C---1304: 1.0
C---1311: 1.0
C---1330: 1.0
C---1334: 1.0
C---1342: 1.0
C---1343: 1.0
C---1350: 1.0
C---1364: 1.0
C---1371: 1.0
C---1398: 1.0
C---1400: 1.0
C---1403: 1.0
C---1416: 1.0
C---1426: 1.0
C---1439: 1.0
C---1447: 1.0
C---1449: 1.0
C---1469: 1.0
C---1471: 1.0
C---1473: 1.0
C---1474: 1.0
C---1477: 1.0
C---1483: 1.0
C---1491: 1.0
C---1492: 1.0
C---1504: 1.0
C---1524: 1.0
C---1526: 1.0
C---1530: 1.0
C---1531: 1.0
C---1548: 1.0
C---1549: 1.0
C---1557: 1.0
C---1586: 1.0
C---1592: 1.0
C---1594: 1.0
C---1601: 1.0
C---1607: 1.0
C---1623: 1.0
C---1642: 1.0
C---1678: 1.0
C---1686: 1.0
C---1723: 1.0
C---1769: 1.0
C---1795: 1.0
C---1826: 1.0
C---1844: 1.0
C---1854: 1.0
C---1865: 1.0
C---1885: 1.0
C---1886: 1.0
C---1904: 1.0
C---1910: 1.0
C---1912: 1.0
C---1968: 1.0
C---1975: 1.0
C---1979: 1.0
C---2003: 1.0
C---2007: 1.0
C---2014: 1.0
C---2016: 1.0
C---2027: 1.0
C---2033: 1.0
C---2038: 1.0
C---2044: 1.0
C---2056: 1.0
C---2081: 1.0
C---2088: 1.0
C---2090: 1.0
C---2093: 1.0
C---2102: 1.0
C---2110: 1.0
